Bank Name,Headquarters,Asset Size,Income,USBANK Link,Website
Wells Fargo Bank,"101 N. Phillips Avenue, Sioux Falls, SD 57104","$1,667,769,000,000","$5,793,000,000",https://www.usbanklocations.com/wells-fargo-bank.shtml,0
"Zions Bancorporation, N.A.","1 S Main Street, Salt Lake City, UT 84133","$69,194,678,000","$212,625,000",https://www.usbanklocations.com/zions-bancorporation-n-a.shtml,http://www.zionsbancorporation.com
Umpqua Bank,"445 S.E. Main Street, Roseburg, OR 97470","$27,322,215,000","$78,737,000",https://www.usbanklocations.com/umpqua-bank.shtml,https://www.umpquabank.com
Pacific Western Bank,"9701 Wilshire Boulevard, Suite 101, Beverly Hills, CA 90212","$26,255,901,000","$119,287,000",https://www.usbanklocations.com/pacific-western-bank.shtml,https://www.pacificwesternbank.com
Rabobank,"915 Highland Pointe Drive, Suite 350, Roseville, CA 95678","$13,445,473,000","$72,778,000",https://www.usbanklocations.com/rabobank.shtml,www.rabobankamerica.com
Pacific Premier Bank,"17901 Von Karman Ave Suite 1200, Irvine, CA 92614","$11,579,472,000","$40,731,000",https://www.usbanklocations.com/pacific-premier-bank.shtml,http://www.ppbi.com
Citizens Business Bank,"701 North Haven Avenue, Ontario, CA 91764","$11,304,104,000","$52,799,000",https://www.usbanklocations.com/citizens-business-bank.shtml,http://www.cbbank.com
Banc of California,"3 Macarthur Place, Santa Ana, CA 92707","$9,879,137,000","$13,144,000",https://www.usbanklocations.com/banc-of-california.shtml,www.bancofcal.com
Luther Burbank Savings,"500 Third Street, Santa Rosa, CA 95401","$6,988,964,000","$13,628,000",https://www.usbanklocations.com/luther-burbank-savings.shtml,www.lutherburbanksavings.com
First Foundation Bank,"18101 Von Karman Avenue, Suite 750, Irvine, CA 92612","$5,982,834,000","$11,867,000",https://www.usbanklocations.com/first-foundation-bank.shtml,http://www.firstfoundationinc.com
Wells Fargo Bank South Central,"2005 Taylor Street, Houston, TX 77077","$5,884,463,000","$51,681,000",https://www.usbanklocations.com/wells-fargo-bank-south-central.shtml,"1). //www.wellsfargo.com,2). //www.wellsfargoadvisors.com"
Five Star Bank,"55 North Main Street, Warsaw, NY 14569","$4,267,432,000","$12,685,000",https://www.usbanklocations.com/five-star-bank-659.shtml,www.five-starbank.com
Five Star Bank 2,"2240 Douglas Blvd, Roseville, CA 95661","$1,377,875,000","$7,436,000",https://www.usbanklocations.com/five-star-bank-35361.shtml,www.fivestarbank.com
Farmers & Merchants Bank of Central California,"121 West Pine Street, Lodi, CA 95240","$3,395,651,000","$13,965,000",https://www.usbanklocations.com/farmers-merchants-bank-of-central-california.shtml,www.fmbonline.com
Heritage Bank of Commerce,"150 Almaden Boulevard, San Jose, CA 95113","$3,114,586,000","$12,934,000",https://www.usbanklocations.com/heritage-bank-of-commerce.shtml,w w w .heritagebankofcommerce.com
Heritage Bank of Commerce,"150 Almaden Boulevard, San Jose, CA 95113","$3,114,586,000","$12,934,000",https://www.usbanklocations.com/heritage-bank-of-commerce.shtml,w w w .heritagebankofcommerce.com
Exchange Bank,"545 Fourth Street, Santa Rosa, CA 95401","$2,633,093,000","$9,069,000",https://www.usbanklocations.com/exchange-bank-8468.shtml,http://www.exchangebank.com
Exchange Bank 2,"14 La Barre, Gibbon, NE 68840","$934,775,000","$4,641,000",https://www.usbanklocations.com/exchange-bank-1435.shtml,https://www.eb-us.com
Exchange Bank 3,"250 West Hancock Street, Milledgeville, GA 31061","$251,183,000","$726,000",https://www.usbanklocations.com/exchange-bank-160.shtml,www.exch.bank
Central Bank & Trust Company,"300 West Vine Street, Lexington, KY 40507","$2,605,823,000","$9,064,000",https://www.usbanklocations.com/central-bank-trust-company.shtml,www.centralbank.com
Bank of the Sierra,"90 North Main Street, Porterville, CA 93257","$2,538,889,000","$9,405,000",https://www.usbanklocations.com/bank-of-the-sierra.shtml,www.bankofthesierra.com
Bank of the Sierra,"90 North Main Street, Porterville, CA 93257","$2,538,889,000","$9,405,000",https://www.usbanklocations.com/bank-of-the-sierra.shtml,www.bankofthesierra.com
Bank of Marin,"504 Redwood Boulevard, Novato, CA 94947","$2,533,966,000","$7,806,000",https://www.usbanklocations.com/bank-of-marin.shtml,http://www.bankofmarin.com
People's Intermountain Bank,"33 East Main Street, American Fork, UT 84003","$2,270,758,000","$10,426,000",https://www.usbanklocations.com/people-s-intermountain-bank.shtml,www.bankaf.com
"El Dorado Savings Bank, F.S.B.","4040 El Dorado Road, Placerville, CA 95667","$2,187,131,000","$4,819,000",https://www.usbanklocations.com/el-dorado-savings-bank-f-s-b.shtml,http://www.eldoradosavingsbank.com
Central Bank of Boone County,"720 East Broadway Street, Columbia, MO 65201","$1,993,544,000","$7,371,000",https://www.usbanklocations.com/central-bank-of-boone-county.shtml,www.centralbank.net
National Exchange Bank and Trust,"130 South Main Street, Fond Du Lac, WI 54935","$1,964,348,000","$7,562,000",https://www.usbanklocations.com/national-exchange-bank-and-trust.shtml,http://www.nebat.com
Bank of Guam,"111 Chalan Santo Papa, ,  96910","$1,921,554,000","$2,895,000",https://www.usbanklocations.com/bank-of-guam.shtml,https://www.bankofguam.com
Silvergate Bank,"4250 Executive Square Suite 300, La Jolla, CA 92037","$1,887,127,000","$10,164,000",https://www.usbanklocations.com/silvergate-bank.shtml,http://www.silvergatebank.com
Central Bank of the Midwest,"609 North 291 Highway, Lees Summit, MO 64086","$1,800,734,000","$6,122,000",https://www.usbanklocations.com/central-bank-of-the-midwest.shtml,www.centralbankmidwest.net
First Choice Bank,"17785 Center Court Dr N, Cerritos, CA 90703","$1,651,443,000","$7,257,000",https://www.usbanklocations.com/first-choice-bank-57966.shtml,www.firstchoicebankca.com
First Choice Bank 2,"19 South Main Street, Pontotoc, MS 38863","$315,304,000","$825,000",https://www.usbanklocations.com/first-choice-bank-5006.shtml,https://www.firstchoice.bank
1st Security Bank of Washington,"6920 220th Street Sw, Suite 300, Mountlake Terrace, WA 98043","$1,625,690,000","$5,367,000",https://www.usbanklocations.com/1st-security-bank-of-washington.shtml,WWW.FSBWA.com
D. L. Evans Bank,"375 North Overland Avenue, Burley, ID 83318","$1,569,175,000","$6,506,000",https://www.usbanklocations.com/d-l-evans-bank.shtml,dlevans.com
Central Valley Community Bank,"7100 N. Financial Drive, Suite101, Fresno, CA 93720","$1,564,017,000","$5,382,000",https://www.usbanklocations.com/central-valley-community-bank.shtml,www.cvcb.com
Montecito Bank & Trust,"1000 State Street, Santa Barbara, CA 93101","$1,510,835,000","$2,867,000",https://www.usbanklocations.com/montecito-bank-trust.shtml,www.montecito.bank
Merchants Bank of Commerce,"1951 Churn Creek Road, Redding, CA 96002","$1,470,768,000","$2,991,000",https://www.usbanklocations.com/merchants-bank-of-commerce.shtml,www.reddingbankofcommerce.com
Central Bank of The Ozarks,"1800 South Glenstone Avenue, Springfield, MO 65804","$1,416,078,000","$4,238,000",https://www.usbanklocations.com/central-bank-of-the-ozarks.shtml,www.centralbank.net
Bank of Utah,"2605 Washington Blvd, Ogden, UT 84401","$1,409,929,000","$8,938,000",https://www.usbanklocations.com/bank-of-utah.shtml,WWW.BANKOFUTAH.COM
Pacific Mercantile Bank,"949 South Coast Drive, 3rd. Floor, Costa Mesa, CA 92626","$1,399,655,000","$1,290,000",https://www.usbanklocations.com/pacific-mercantile-bank.shtml,http://www.pmbank.com
Five Star Bank,"55 North Main Street, Warsaw, NY 14569","$4,267,432,000","$12,685,000",https://www.usbanklocations.com/five-star-bank-659.shtml,www.five-starbank.com
Five Star Bank 2,"2240 Douglas Blvd, Roseville, CA 95661","$1,377,875,000","$7,436,000",https://www.usbanklocations.com/five-star-bank-35361.shtml,www.fivestarbank.com
Sunwest Bank,"2050 Main Street, Irvine, CA 92614","$1,332,694,000","$5,624,000",https://www.usbanklocations.com/sunwest-bank.shtml,http://www.sunwestbank.com
First Financial Northwest Bank,"201 Wells Avenue South, Renton, WA 98057","$1,286,721,000","$2,233,000",https://www.usbanklocations.com/first-financial-northwest-bank.shtml,http://www.ffnwb.com
